#id: 3536693818
#name: H.sapiens - Brain (Integrated)
#score: 32.4
#coverage: 69
#description: integrated dataset: weighted average of all H.sapiens BRAIN: 32.4; Coverage: 69
#organ: BRAIN
#integrated: true
#weights: human_brain_Martens_2006_proteomics:0.251;PXD012101_Betz:0.251;PXD037133_brain_control:0.151;PXD012101_Purkinje:0.12;9606-PA_brain_201308:0.083;human_brain_atlas_201106:0.083;PXD020192_brain:0.031;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Brain:0.016;human_brain_PA_2015-1:0.007;Fetal_Brain_Kim_2014_SEQUEST:0.007;
#publication_year: 2026
#filename: 9606-BRAIN-integrated.txt
#
#gene_name	string_external_id	abundance
RAC3	9606.ENSP00000304283	476
NDUFA2	9606.ENSP00000252102	472
RAB1A	9606.ENSP00000387286	471
RPL5	9606.ENSP00000359345	470
ARF1	9606.ENSP00000440005	467
RPS8	9606.ENSP00000379888	466
PIN1	9606.ENSP00000247970	463
RPL7	9606.ENSP00000339795	458
H7C0C1_HUMAN	9606.ENSP00000394107	457
SLC25A22	9606.ENSP00000322020	454
ECHS1	9606.ENSP00000357535	453
SEPTIN8	9606.ENSP00000367991	452
CD47	9606.ENSP00000355361	449
AP2M1	9606.ENSP00000403362	448
FARSA	9606.ENSP00000320309	447
UBE2N	9606.ENSP00000316176	446
MTPN	9606.ENSP00000376800	446
ADD1	9606.ENSP00000264758	445
FSCN1	9606.ENSP00000371798	444
BIN1	9606.ENSP00000316779	444
FARSB	9606.ENSP00000281828	444
RPL6	9606.ENSP00000403172	444
RPL10A	9606.ENSP00000363018	444
ALDH2	9606.ENSP00000261733	443
IDH3B	9606.ENSP00000482773	442
ARF3	9606.ENSP00000256682	441
MAPRE3	9606.ENSP00000233121	440
SIRPA	9606.ENSP00000478763	440
HNRNPA3	9606.ENSP00000376309	440
VAPA	9606.ENSP00000345656	440
UQCRQ	9606.ENSP00000367939	439
HNRNPK	9606.ENSP00000365458	438
PRKCG	9606.ENSP00000263431	436
SLC25A12	9606.ENSP00000388658	433
RPSA	9606.ENSP00000389351	432
VCP	9606.ENSP00000351777	430
CNRIP1	9606.ENSP00000263655	427
SEPTIN5	9606.ENSP00000391311	426
HSPA12A	9606.ENSP00000489674	426
GNG3	9606.ENSP00000294117	425
SDHA	9606.ENSP00000264932	423
RPL12	9606.ENSP00000354739	422
APOD	9606.ENSP00000345179	422
GLS	9606.ENSP00000317379	421
TNR	9606.ENSP00000356646	421
CAPZB	9606.ENSP00000401010	419
MAP1LC3A	9606.ENSP00000363970	418
ABAT	9606.ENSP00000379845	417
FKBP1A	9606.ENSP00000383003	416
